YIL;BÖLGE KODU;BÖLGE ADI;Belediye atık istatistikleri : Toplanan atık miktarı (1000 ton)
2016;TRC31;Mardin;208
2018;TRC31;Mardin;221
2020;TRC31;Mardin;230
2022;TRC31;Mardin;215
1998;TRC32;Batman;77
2001;TRC32;Batman;108
2002;TRC32;Batman;123
2003;TRC32;Batman;126
2004;TRC32;Batman;124
2006;TRC32;Batman;147
2008;TRC32;Batman;123
2010;TRC32;Batman;113
2012;TRC32;Batman;131
2014;TRC32;Batman;132
2016;TRC32;Batman;194
2018;TRC32;Batman;152
2020;TRC32;Batman;160
2022;TRC32;Batman;177
1998;TRC33;Şırnak;6
2001;TRC33;Şırnak;64
2002;TRC33;Şırnak;72
2003;TRC33;Şırnak;89
2004;TRC33;Şırnak;91
2006;TRC33;Şırnak;67
2008;TRC33;Şırnak;110
2010;TRC33;Şırnak;119
2012;TRC33;Şırnak;132
2014;TRC33;Şırnak;139
2016;TRC33;Şırnak;183
2018;TRC33;Şırnak;207
2020;TRC33;Şırnak;212
2022;TRC33;Şırnak;218
1998;TRC34;Siirt;37
2001;TRC34;Siirt;39
2002;TRC34;Siirt;46
2003;TRC34;Siirt;53
2004;TRC34;Siirt;55
2006;TRC34;Siirt;60
2008;TRC34;Siirt;61
2010;TRC34;Siirt;67
2012;TRC34;Siirt;75
2014;TRC34;Siirt;74
2016;TRC34;Siirt;114
2018;TRC34;Siirt;111
2020;TRC34;Siirt;94
2022;TRC34;Siirt;78
